seq.pos	node.id	node.offset	coverage
0	1	0	228
1	1	1	233
2	1	2	239
3	1	3	242
4	1	4	242
5	1	5	241
6	1	6	241
7	1	7	242
8	1	8	242
9	1	9	244
10	1	10	244
11	1	11	240
12	1	12	244
13	1	13	244
14	1	14	244
15	1	15	244
16	1	16	244
17	1	17	244
18	1	18	244
19	1	19	244
20	1	20	244
21	1	21	244
22	1	22	244
23	1	23	244
24	1	24	244
25	1	25	244
26	1	26	244
27	1	27	14
28	1	28	0
29	1	29	0
30	1	30	0
31	1	31	0
32	1	32	0
33	1	33	0
34	1	34	0
35	1	35	0
36	1	36	0
37	1	37	0
38	1	38	0
39	1	39	0
40	1	40	0
41	1	41	0
42	1	42	0
43	1	43	0
44	1	44	0
45	1	45	0
46	1	46	0
47	1	47	0
48	1	48	0
49	1	49	0
50	1	50	0
51	1	51	0
52	1	52	0
53	1	53	0
54	1	54	0
55	1	55	0
56	1	56	0
57	1	57	0
58	1	58	0
59	1	59	0
60	1	60	0
61	1	61	0
62	1	62	0
63	1	63	0
64	1	64	0
65	1	65	0
66	1	66	0
67	1	67	0
68	1	68	0
69	1	69	0
70	1	70	0
71	1	71	0
72	1	72	0
73	1	73	0
74	1	74	0
75	1	75	0
76	1	76	0
77	1	77	0
78	1	78	0
79	1	79	0
80	1	80	0
81	1	81	0
82	1	82	0
83	1	83	0
84	1	84	0
85	1	85	0
86	1	86	0
87	1	87	0
88	1	88	0
89	1	89	0
90	1	90	0
91	1	91	0
92	1	92	0
93	1	93	0
94	1	94	0
95	1	95	0
96	1	96	0
97	1	97	0
98	1	98	0
99	1	99	0
100	1	100	0
101	1	101	0
102	1	102	0
103	1	103	0
104	1	104	0
105	1	105	0
106	1	106	0
107	1	107	0
108	1	108	0
109	1	109	0
110	1	110	0
111	1	111	0
112	1	112	0
113	1	113	0
114	1	114	0
115	1	115	0
116	1	116	0
117	1	117	0
118	1	118	0
119	1	119	0
120	1	120	0
121	1	121	0
122	1	122	0
123	1	123	0
124	1	124	0
125	1	125	0
126	1	126	0
127	1	127	0
128	1	128	0
129	1	129	0
130	1	130	0
131	1	131	0
132	1	132	0
133	1	133	0
134	1	134	0
135	1	135	0
136	1	136	0
137	1	137	0
138	1	138	0
139	1	139	0
140	1	140	0
141	1	141	0
142	1	142	0
143	1	143	0
144	1	144	0
145	1	145	0
146	1	146	0
147	1	147	0
148	1	148	0
149	1	149	0
150	1	150	0
151	1	151	15
152	1	152	34
153	1	153	34
154	1	154	34
155	1	155	34
156	1	156	34
157	1	157	34
158	1	158	34
159	1	159	34
160	1	160	34
161	1	161	34
162	1	162	34
163	1	163	34
164	1	164	34
165	1	165	34
166	1	166	34
167	1	167	34
168	1	168	33
169	1	169	32
170	1	170	33
171	1	171	33
172	1	172	32
173	1	173	32
174	1	174	32
175	1	175	31
176	1	176	0
177	2	0	722
178	2	1	728
179	2	2	738
180	2	3	743
181	2	4	746
182	2	5	739
183	2	6	747
184	2	7	784
185	2	8	785
186	2	9	789
187	2	10	789
188	2	11	789
189	2	12	789
190	2	13	789
191	2	14	789
192	2	15	787
193	2	16	789
194	2	17	789
195	2	18	789
196	2	19	787
197	2	20	786
198	2	21	676
199	2	22	676
200	2	23	656
201	2	24	49
202	2	25	3
203	2	26	2
204	2	27	5
205	2	28	5
206	2	29	5
207	2	30	4
208	2	31	4
209	2	32	5
210	2	33	5
211	2	34	5
212	2	35	4
213	2	36	5
214	2	37	5
215	2	38	5
216	2	39	5
217	2	40	5
218	2	41	5
219	2	42	4
220	2	43	5
221	2	44	4
222	2	45	4
223	2	46	4
224	2	47	3
225	2	48	4
226	2	49	4
227	2	50	4
228	2	51	4
229	2	52	4
230	2	53	4
231	2	54	4
232	2	55	4
233	2	56	4
234	2	57	4
235	2	58	4
236	2	59	4
237	2	60	4
238	2	61	3
239	2	62	4
240	2	63	4
241	2	64	4
242	2	65	4
243	2	66	3
244	2	67	4
245	2	68	3
246	2	69	4
247	2	70	4
248	2	71	4
249	2	72	4
250	2	73	4
251	2	74	4
252	2	75	4
253	2	76	4
254	2	77	3
255	2	78	4
256	2	79	3
257	2	80	4
258	2	81	4
259	2	82	4
260	2	83	4
261	2	84	3
262	2	85	4
263	2	86	3
264	2	87	3
265	2	88	4
266	2	89	5
267	2	90	5
268	2	91	5
269	2	92	5
270	2	93	5
271	2	94	5
272	2	95	5
273	2	96	5
274	2	97	5
275	2	98	5
276	2	99	4
277	2	100	4
278	2	101	4
279	2	102	5
280	2	103	4
281	2	104	5
282	2	105	5
283	2	106	4
284	2	107	3
285	2	108	4
286	2	109	2
287	2	110	4
288	2	111	4
289	2	112	4
290	2	113	4
291	2	114	4
292	2	115	4
293	2	116	3
294	2	117	3
295	2	118	4
296	2	119	3
297	2	120	3
298	2	121	4
299	2	122	4
300	2	123	4
301	2	124	4
302	2	125	3
303	2	126	4
304	2	127	4
305	2	128	4
306	2	129	4
307	2	130	4
308	2	131	4
309	2	132	4
310	2	133	4
311	2	134	4
312	2	135	4
313	2	136	4
314	2	137	4
315	2	138	4
316	2	139	4
317	2	140	4
318	2	141	4
319	2	142	3
320	2	143	4
321	2	144	4
322	2	145	4
323	2	146	4
324	2	147	4
325	2	148	4
326	2	149	4
327	2	150	3
328	2	151	3
329	2	152	3
330	2	153	3
331	2	154	3
332	2	155	3
333	2	156	3
334	2	157	1
335	2	158	1
336	2	159	1
337	2	160	1
338	2	161	1
339	2	162	1
340	2	163	1
341	2	164	1
342	2	165	0
343	2	166	1
344	2	167	0
345	2	168	0
346	2	169	0
347	2	170	0
348	2	171	0
349	2	172	0
350	2	173	0
351	2	174	0
352	2	175	0
353	2	176	0
354	2	177	1
355	2	178	1
356	2	179	1
357	2	180	1
358	2	181	1
359	2	182	1
360	2	183	1
361	2	184	1
362	2	185	1
363	2	186	1
364	2	187	1
365	2	188	1
366	2	189	1
367	2	190	1
368	2	191	1
369	2	192	0
370	2	193	0
371	2	194	0
372	2	195	0
373	2	196	0
374	2	197	1
375	2	198	1
376	2	199	1
377	2	200	1
378	2	201	1
379	2	202	1
380	2	203	1
381	2	204	1
382	2	205	1
383	2	206	1
384	2	207	1
385	2	208	1
386	2	209	1
387	2	210	1
388	2	211	1
389	2	212	0
390	2	213	0
391	2	214	5
392	2	215	5
393	2	216	7
394	2	217	7
395	2	218	7
396	2	219	7
397	2	220	7
398	2	221	7
