seq.pos	node.id	node.offset	coverage
0	1	0	602
1	1	1	613
2	1	2	682
3	1	3	685
4	1	4	686
5	1	5	688
6	1	6	693
7	1	7	696
8	1	8	693
9	1	9	686
10	1	10	690
11	1	11	685
12	1	12	700
13	1	13	701
14	1	14	701
15	1	15	699
16	1	16	699
17	1	17	699
18	1	18	699
19	1	19	700
20	1	20	699
21	1	21	700
22	1	22	700
23	1	23	700
24	1	24	692
25	1	25	683
26	1	26	693
27	1	27	507
28	1	28	468
29	1	29	144
30	1	30	11
31	1	31	11
32	1	32	10
33	1	33	11
34	1	34	12
35	1	35	12
36	1	36	12
37	1	37	13
38	1	38	13
39	1	39	13
40	1	40	13
41	1	41	13
42	1	42	13
43	1	43	13
44	1	44	13
45	1	45	13
46	1	46	13
47	1	47	12
48	1	48	13
49	1	49	13
50	1	50	13
51	1	51	13
52	1	52	13
53	1	53	12
54	1	54	12
55	1	55	12
56	1	56	12
57	1	57	11
58	1	58	12
59	1	59	12
60	1	60	12
61	1	61	12
62	1	62	12
63	1	63	11
64	1	64	12
65	1	65	12
66	1	66	12
67	1	67	13
68	1	68	12
69	1	69	13
70	1	70	13
71	1	71	13
72	1	72	13
73	1	73	13
74	1	74	13
75	1	75	13
76	1	76	13
77	1	77	13
78	1	78	13
79	1	79	13
80	1	80	12
81	1	81	13
82	1	82	12
83	1	83	12
84	1	84	12
85	1	85	12
86	1	86	12
87	1	87	12
88	1	88	12
89	1	89	11
90	1	90	12
91	1	91	12
92	1	92	18
93	1	93	18
94	1	94	18
95	1	95	18
96	1	96	18
97	1	97	18
98	1	98	18
99	1	99	18
100	1	100	18
101	1	101	18
102	1	102	18
103	1	103	18
104	1	104	17
105	1	105	18
106	1	106	18
107	1	107	12
108	1	108	12
109	1	109	12
110	1	110	12
111	1	111	12
112	1	112	12
113	1	113	12
114	1	114	12
115	1	115	12
116	1	116	12
117	1	117	12
118	1	118	12
119	1	119	12
120	1	120	12
121	1	121	12
122	1	122	13
123	1	123	13
124	1	124	13
125	1	125	13
126	1	126	13
127	1	127	13
128	1	128	13
129	1	129	13
130	1	130	13
131	1	131	13
132	1	132	13
133	1	133	13
134	1	134	13
135	1	135	13
136	1	136	13
137	1	137	11
138	1	138	11
139	1	139	11
140	1	140	11
141	1	141	11
142	1	142	11
143	1	143	11
144	1	144	11
145	1	145	11
146	1	146	10
147	1	147	11
148	1	148	8
149	1	149	8
150	1	150	15
151	1	151	94
152	1	152	385
153	1	153	385
154	1	154	386
155	1	155	386
156	1	156	386
157	1	157	387
158	1	158	387
159	1	159	384
160	1	160	384
161	1	161	384
162	1	162	384
163	1	163	384
164	1	164	382
165	1	165	384
166	1	166	384
167	1	167	383
168	1	168	381
169	1	169	378
170	1	170	375
171	1	171	377
172	1	172	377
173	1	173	377
174	1	174	370
175	1	175	362
176	1	176	2
177	2	0	745
178	2	1	761
179	2	2	769
180	2	3	770
181	2	4	774
182	2	5	767
183	2	6	774
184	2	7	856
185	2	8	857
186	2	9	858
187	2	10	857
188	2	11	858
189	2	12	858
190	2	13	858
191	2	14	858
192	2	15	856
193	2	16	856
194	2	17	853
195	2	18	853
196	2	19	853
197	2	20	842
198	2	21	819
199	2	22	820
200	2	23	739
201	2	24	65
202	2	25	27
203	2	26	5
204	2	27	5
205	2	28	4
206	2	29	2
207	2	30	2
208	2	31	2
209	2	32	2
210	2	33	2
211	2	34	2
212	2	35	2
213	2	36	2
214	2	37	2
215	2	38	2
216	2	39	2
217	2	40	2
218	2	41	2
219	2	42	2
220	2	43	2
221	2	44	2
222	2	45	2
223	2	46	2
224	2	47	2
225	2	48	2
226	2	49	2
227	2	50	2
228	2	51	2
229	2	52	2
230	2	53	2
231	2	54	2
232	2	55	2
233	2	56	2
234	2	57	2
235	2	58	2
236	2	59	2
237	2	60	2
238	2	61	2
239	2	62	2
240	2	63	2
241	2	64	2
242	2	65	2
243	2	66	2
244	2	67	2
245	2	68	2
246	2	69	2
247	2	70	2
248	2	71	2
249	2	72	2
250	2	73	2
251	2	74	2
252	2	75	2
253	2	76	2
254	2	77	2
255	2	78	2
256	2	79	2
257	2	80	2
258	2	81	2
259	2	82	2
260	2	83	2
261	2	84	2
262	2	85	3
263	2	86	3
264	2	87	3
265	2	88	3
266	2	89	3
267	2	90	3
268	2	91	3
269	2	92	3
270	2	93	3
271	2	94	3
272	2	95	3
273	2	96	3
274	2	97	3
275	2	98	3
276	2	99	3
277	2	100	2
278	2	101	3
279	2	102	3
280	2	103	3
281	2	104	3
282	2	105	3
283	2	106	3
284	2	107	3
285	2	108	3
286	2	109	2
287	2	110	3
288	2	111	3
289	2	112	3
290	2	113	3
291	2	114	3
292	2	115	3
293	2	116	3
294	2	117	3
295	2	118	3
296	2	119	3
297	2	120	3
298	2	121	3
299	2	122	3
300	2	123	3
301	2	124	3
302	2	125	3
303	2	126	3
304	2	127	3
305	2	128	3
306	2	129	3
307	2	130	3
308	2	131	3
309	2	132	3
310	2	133	3
311	2	134	3
312	2	135	3
313	2	136	3
314	2	137	3
315	2	138	3
316	2	139	3
317	2	140	3
318	2	141	3
319	2	142	2
320	2	143	3
321	2	144	3
322	2	145	3
323	2	146	3
324	2	147	3
325	2	148	3
326	2	149	3
327	2	150	2
328	2	151	2
329	2	152	2
330	2	153	2
331	2	154	2
332	2	155	2
333	2	156	2
334	2	157	1
335	2	158	1
336	2	159	1
337	2	160	1
338	2	161	1
339	2	162	1
340	2	163	1
341	2	164	1
342	2	165	1
343	2	166	1
344	2	167	1
345	2	168	1
346	2	169	1
347	2	170	1
348	2	171	1
349	2	172	1
350	2	173	1
351	2	174	1
352	2	175	1
353	2	176	1
354	2	177	1
355	2	178	1
356	2	179	1
357	2	180	1
358	2	181	1
359	2	182	1
360	2	183	1
361	2	184	1
362	2	185	1
363	2	186	1
364	2	187	1
365	2	188	1
366	2	189	1
367	2	190	1
368	2	191	1
369	2	192	1
370	2	193	1
371	2	194	1
372	2	195	1
373	2	196	1
374	2	197	1
375	2	198	1
376	2	199	1
377	2	200	1
378	2	201	1
379	2	202	1
380	2	203	1
381	2	204	1
382	2	205	1
383	2	206	1
384	2	207	1
385	2	208	1
386	2	209	1
387	2	210	1
388	2	211	1
389	2	212	1
390	2	213	1
391	2	214	1
392	2	215	1
393	2	216	1
394	2	217	9
395	2	218	15
396	2	219	15
397	2	220	15
398	2	221	15
399	2	222	15
400	2	223	15
401	2	224	14
402	2	225	14
403	2	226	14
404	2	227	14
405	2	228	14
406	2	229	14
407	2	230	14
408	2	231	14
409	2	232	14
410	2	233	14
411	2	234	12
412	2	235	12
413	2	236	10
414	2	237	7
415	2	238	4
416	3	0	0
417	3	1	30
418	3	2	31
419	3	3	31
420	3	4	31
421	3	5	31
422	3	6	30
423	3	7	31
424	3	8	31
425	3	9	31
426	3	10	31
427	3	11	31
428	3	12	31
429	3	13	31
430	3	14	31
431	3	15	31
432	3	16	30
433	3	17	30
434	3	18	30
435	3	19	29
436	3	20	29
437	3	21	24
438	3	22	24
439	3	23	1
440	3	24	0
441	3	25	0
442	3	26	0
443	3	27	0
444	3	28	0
445	3	29	0
446	3	30	0
447	3	31	0
448	3	32	0
449	3	33	0
450	3	34	0
451	3	35	0
452	3	36	0
453	3	37	0
454	3	38	0
455	3	39	0
456	3	40	0
457	3	41	0
458	3	42	0
459	3	43	0
460	3	44	0
461	3	45	0
462	3	46	0
463	3	47	0
464	3	48	0
465	3	49	0
466	3	50	0
467	3	51	0
468	3	52	0
469	3	53	0
470	3	54	0
471	3	55	0
472	3	56	0
473	3	57	0
474	3	58	0
475	3	59	0
476	3	60	0
477	3	61	0
478	3	62	0
479	3	63	0
480	3	64	0
481	3	65	0
482	3	66	0
483	3	67	0
484	3	68	0
485	3	69	0
486	3	70	0
487	3	71	0
488	3	72	0
489	3	73	0
490	3	74	0
491	3	75	0
492	3	76	0
493	3	77	0
494	3	78	0
495	3	79	0
496	3	80	0
497	3	81	0
498	3	82	0
499	3	83	0
500	3	84	0
501	3	85	0
502	3	86	0
503	3	87	0
504	3	88	0
505	3	89	0
506	3	90	0
507	3	91	0
508	3	92	0
509	3	93	0
510	3	94	0
511	3	95	0
512	3	96	0
513	3	97	0
514	3	98	0
515	3	99	0
516	3	100	0
517	3	101	0
518	3	102	0
519	3	103	0
520	3	104	0
521	3	105	0
522	3	106	0
523	3	107	0
524	3	108	0
525	3	109	0
526	3	110	0
527	3	111	0
528	3	112	0
529	3	113	0
530	3	114	0
531	3	115	0
532	3	116	0
533	3	117	0
534	3	118	0
535	3	119	0
536	3	120	0
537	3	121	0
538	3	122	0
539	3	123	0
540	3	124	0
541	3	125	0
542	3	126	0
543	3	127	0
544	3	128	0
545	3	129	0
546	3	130	0
547	3	131	0
548	3	132	0
549	3	133	0
550	3	134	0
551	3	135	0
552	3	136	0
553	3	137	0
554	3	138	0
555	3	139	0
556	3	140	0
557	3	141	0
558	3	142	0
559	3	143	0
560	3	144	0
561	3	145	0
562	3	146	0
563	3	147	0
564	3	148	0
565	3	149	0
566	3	150	0
567	3	151	0
568	3	152	0
569	3	153	0
570	3	154	0
571	3	155	0
572	3	156	0
573	3	157	0
574	3	158	0
575	3	159	0
576	3	160	0
577	3	161	0
578	3	162	0
579	3	163	0
580	3	164	0
581	3	165	0
582	3	166	0
583	3	167	0
584	3	168	0
585	3	169	0
586	3	170	0
587	3	171	0
588	3	172	0
589	3	173	0
590	3	174	0
591	3	175	0
592	3	176	0
593	3	177	0
594	3	178	0
595	3	179	0
596	3	180	0
597	3	181	0
598	3	182	0
599	3	183	0
600	3	184	0
601	3	185	0
602	3	186	0
603	3	187	0
604	3	188	0
605	3	189	0
606	3	190	0
607	3	191	0
608	3	192	0
609	3	193	0
610	3	194	0
611	3	195	0
612	3	196	0
613	3	197	0
614	3	198	0
615	3	199	0
616	3	200	0
617	3	201	0
618	3	202	0
619	3	203	0
620	3	204	0
621	3	205	0
622	3	206	0
623	3	207	0
624	3	208	0
625	3	209	0
626	3	210	1
627	3	211	1
628	3	212	1
629	3	213	1
630	3	214	1
631	3	215	1
632	3	216	1
633	3	217	1
634	3	218	1
635	3	219	1
636	3	220	1
637	3	221	1
638	3	222	1
639	3	223	1
640	3	224	1
641	3	225	0
642	3	226	0
643	3	227	0
644	3	228	0
645	3	229	0
646	3	230	0
647	3	231	0
648	3	232	0
649	3	233	0
650	3	234	0
651	3	235	0
652	3	236	0
653	3	237	0
654	3	238	0
655	3	239	0
656	3	240	0
657	3	241	0
658	3	242	0
659	3	243	0
660	3	244	0
661	3	245	0
662	3	246	0
663	3	247	0
664	3	248	0
665	3	249	0
666	3	250	0
667	3	251	0
668	3	252	0
669	3	253	0
670	3	254	0
671	3	255	0
672	3	256	0
673	3	257	0
674	3	258	0
675	3	259	0
676	3	260	0
677	3	261	0
678	3	262	0
679	3	263	0
680	3	264	0
681	3	265	0
682	3	266	0
683	3	267	0
684	3	268	0
685	3	269	0
686	3	270	0
687	3	271	0
688	3	272	0
689	3	273	0
690	3	274	0
691	3	275	0
692	3	276	0
693	3	277	0
694	3	278	0
695	3	279	0
696	3	280	0
697	3	281	0
698	3	282	0
699	3	283	0
700	3	284	0
701	3	285	0
702	3	286	0
703	3	287	0
704	3	288	0
705	3	289	0
706	3	290	0
707	3	291	0
708	3	292	0
709	3	293	0
710	3	294	0
711	3	295	0
712	3	296	0
713	3	297	0
714	3	298	0
715	3	299	0
716	3	300	0
717	3	301	0
718	3	302	0
719	3	303	0
720	3	304	0
721	3	305	0
722	3	306	0
723	3	307	0
724	3	308	0
725	3	309	0
726	3	310	0
727	3	311	0
728	3	312	0
729	3	313	0
730	3	314	0
731	3	315	0
732	3	316	0
733	3	317	0
734	3	318	0
735	3	319	0
736	3	320	0
737	3	321	0
738	3	322	0
739	3	323	0
740	3	324	0
741	3	325	0
742	3	326	0
743	3	327	0
744	3	328	0
745	3	329	0
746	3	330	0
747	3	331	0
748	3	332	0
749	3	333	0
750	3	334	0
751	3	335	0
752	3	336	0
753	3	337	0
754	3	338	0
755	3	339	0
756	3	340	0
757	3	341	0
758	3	342	0
759	3	343	0
760	3	344	0
761	3	345	0
762	3	346	0
763	3	347	0
764	3	348	0
765	3	349	0
766	3	350	0
767	3	351	1
768	3	352	1
769	3	353	1
770	3	354	1
771	3	355	1
772	3	356	1
773	3	357	1
774	3	358	1
775	3	359	1
776	3	360	1
777	3	361	1
778	3	362	1
779	3	363	1
780	3	364	1
781	3	365	1
782	3	366	0
783	3	367	0
784	3	368	0
785	3	369	0
786	3	370	0
787	3	371	0
788	3	372	0
789	3	373	0
790	3	374	0
791	3	375	0
792	3	376	0
793	3	377	0
794	3	378	0
795	3	379	0
796	3	380	0
797	3	381	0
798	3	382	0
799	3	383	0
800	3	384	0
801	3	385	0
802	3	386	0
803	3	387	0
804	3	388	0
805	3	389	0
806	3	390	0
807	3	391	0
808	3	392	0
809	3	393	0
810	3	394	0
811	3	395	0
812	3	396	0
813	3	397	0
814	3	398	0
815	3	399	0
816	3	400	0
817	3	401	0
818	3	402	0
819	3	403	0
820	3	404	0
821	3	405	0
822	3	406	0
823	3	407	0
824	3	408	0
825	3	409	0
826	3	410	1
827	3	411	1
828	3	412	1
829	3	413	1
830	3	414	1
831	3	415	1
832	3	416	1
833	3	417	1
834	3	418	1
835	3	419	1
836	3	420	1
837	3	421	1
838	3	422	1
839	3	423	1
840	3	424	1
841	3	425	0
842	3	426	0
843	3	427	0
844	3	428	0
845	3	429	0
846	3	430	0
847	3	431	0
848	3	432	0
849	3	433	0
850	3	434	0
851	3	435	0
852	3	436	0
853	3	437	0
854	3	438	0
855	3	439	0
856	3	440	0
857	3	441	0
858	3	442	0
859	3	443	0
860	3	444	0
861	3	445	0
862	3	446	0
863	3	447	0
864	3	448	0
865	3	449	0
866	3	450	0
867	3	451	0
868	3	452	0
869	3	453	0
870	3	454	0
871	3	455	0
872	3	456	0
873	3	457	0
874	3	458	0
875	3	459	0
876	3	460	0
877	3	461	0
878	3	462	0
879	3	463	0
880	3	464	0
881	3	465	0
882	3	466	0
883	3	467	0
884	3	468	0
885	3	469	0
886	3	470	0
887	3	471	0
888	3	472	0
889	3	473	0
890	3	474	0
891	3	475	0
892	3	476	0
893	3	477	0
894	3	478	0
895	3	479	0
896	3	480	0
897	3	481	7
898	3	482	7
899	3	483	7
900	3	484	7
901	3	485	7
902	3	486	7
903	3	487	7
904	3	488	8
905	3	489	8
906	3	490	8
907	3	491	8
908	3	492	8
909	3	493	8
910	3	494	8
911	3	495	8
912	3	496	1
913	3	497	1
914	3	498	1
915	3	499	1
916	3	500	1
917	3	501	1
918	3	502	1
919	3	503	1
920	3	504	0
921	3	505	0
922	3	506	0
923	3	507	0
924	3	508	0
925	3	509	0
926	3	510	0
927	3	511	0
928	3	512	0
929	3	513	0
930	3	514	0
931	3	515	0
932	3	516	0
933	3	517	0
934	3	518	0
935	3	519	0
936	3	520	0
937	3	521	0
938	3	522	0
939	3	523	1
940	3	524	1
941	3	525	25
942	3	526	25
943	3	527	25
944	3	528	25
945	3	529	25
946	3	530	25
947	3	531	25
948	3	532	25
949	3	533	25
950	3	534	25
951	3	535	25
952	3	536	25
953	3	537	25
954	3	538	26
955	3	539	26
956	3	540	1
957	3	541	2
958	3	542	4
959	3	543	4
960	3	544	4
961	3	545	4
962	3	546	4
963	3	547	4
964	3	548	4
965	3	549	4
966	3	550	4
967	3	551	4
968	3	552	4
969	3	553	3
970	3	554	3
971	3	555	3
972	3	556	3
973	3	557	0
974	3	558	0
975	3	559	0
976	3	560	0
977	3	561	0
978	3	562	0
979	3	563	0
980	3	564	0
981	3	565	0
982	3	566	0
983	3	567	0
984	3	568	0
985	3	569	0
986	3	570	0
987	3	571	0
988	3	572	0
989	3	573	0
990	3	574	0
991	3	575	0
992	3	576	0
993	3	577	0
994	3	578	0
995	3	579	0
996	3	580	0
997	3	581	0
998	3	582	0
999	3	583	0
1000	3	584	0
1001	3	585	0
1002	3	586	0
1003	3	587	0
1004	3	588	0
1005	3	589	0
1006	3	590	0
1007	3	591	0
1008	3	592	0
1009	3	593	0
1010	3	594	0
1011	3	595	0
1012	3	596	0
1013	3	597	0
1014	3	598	0
1015	3	599	0
1016	3	600	0
1017	3	601	0
1018	3	602	0
1019	3	603	0
1020	3	604	0
1021	3	605	0
1022	3	606	0
1023	3	607	0
1024	3	608	0
1025	3	609	0
1026	3	610	0
1027	3	611	0
1028	3	612	0
1029	3	613	0
1030	3	614	0
1031	3	615	0
1032	3	616	0
1033	3	617	0
1034	3	618	0
1035	3	619	0
1036	3	620	0
1037	3	621	0
1038	3	622	0
1039	3	623	0
1040	3	624	0
1041	3	625	0
1042	3	626	0
1043	3	627	0
1044	3	628	0
1045	3	629	0
1046	3	630	0
1047	3	631	0
1048	3	632	0
1049	3	633	0
1050	3	634	0
1051	3	635	0
1052	3	636	0
1053	3	637	0
1054	3	638	0
1055	3	639	0
1056	3	640	0
1057	3	641	0
1058	3	642	0
1059	3	643	0
1060	3	644	0
1061	3	645	0
1062	3	646	0
1063	3	647	0
1064	3	648	0
1065	3	649	0
1066	3	650	0
1067	3	651	0
1068	3	652	0
1069	3	653	0
1070	3	654	0
1071	3	655	0
1072	3	656	0
1073	3	657	0
1074	3	658	0
1075	3	659	0
1076	3	660	0
1077	3	661	0
1078	3	662	0
1079	3	663	0
1080	3	664	0
1081	3	665	0
