seq.pos	node.id	node.offset	coverage
0	1	0	2
1	1	1	2
2	1	2	2
3	1	3	2
4	1	4	2
5	1	5	2
6	1	6	2
7	1	7	2
8	1	8	2
9	1	9	2
10	1	10	2
11	1	11	2
12	1	12	2
13	1	13	2
14	1	14	2
15	1	15	2
16	1	16	2
17	1	17	2
18	1	18	2
19	1	19	2
20	1	20	2
21	1	21	2
22	2	0	0
23	2	1	0
24	2	2	0
25	2	3	0
26	2	4	0
27	2	5	0
28	2	6	2
29	2	7	2
30	2	8	2
31	2	9	2
32	2	10	2
33	2	11	2
34	2	12	2
35	2	13	2
36	2	14	2
37	3	0	2
38	3	1	2
39	3	2	2
40	3	3	2
41	3	4	2
42	3	5	2
43	3	6	2
44	3	7	2
45	3	8	2
46	3	9	2
47	3	10	2
48	3	11	2
49	3	12	2
50	3	13	2
51	3	14	2
52	3	15	2
53	3	16	2
54	3	17	2
55	3	18	2
56	3	19	2
57	3	20	2
58	3	21	2
59	3	22	2
60	3	23	2
61	3	24	2
62	3	25	2
63	3	26	2
64	3	27	2
65	3	28	2
66	3	29	2
67	4	0	2
68	4	1	2
69	4	2	2
70	4	3	2
71	4	4	2
72	4	5	2
73	4	6	2
74	4	7	2
75	4	8	2
76	4	9	2
77	4	10	2
78	4	11	2
79	4	12	2
80	4	13	2
81	4	14	2
82	4	15	2
83	4	16	2
84	4	17	2
85	4	18	2
86	4	19	2
87	4	20	2
88	4	21	2
89	4	22	2
90	4	23	2
91	4	24	2
92	4	25	2
93	4	26	2
94	4	27	2
95	4	28	2
96	4	29	2
97	4	30	2
98	5	0	0
99	5	1	0
100	5	2	0
101	5	3	0
102	5	4	0
103	5	5	0
104	5	6	0
105	5	7	0
106	5	8	0
107	5	9	0
108	5	10	0
109	5	11	0
110	5	12	0
111	5	13	2
112	5	14	4
113	5	15	4
114	5	16	4
115	5	17	4
116	5	18	4
117	5	19	4
118	5	20	4
119	6	0	4
120	6	1	4
121	7	0	2
122	7	1	2
123	7	2	2
124	7	3	2
125	7	4	2
126	7	5	2
127	7	6	2
128	7	7	2
129	7	8	2
130	7	9	2
131	7	10	2
132	7	11	2
133	7	12	2
134	7	13	2
135	7	14	2
136	7	15	2
137	7	16	2
138	7	17	2
139	7	18	2
140	7	19	2
141	7	20	2
142	7	21	2
143	7	22	2
144	7	23	2
145	7	24	2
146	7	25	2
147	7	26	2
148	7	27	2
149	7	28	2
150	7	29	2
151	8	0	2
152	8	1	2
153	8	2	2
154	8	3	2
155	8	4	2
156	8	5	2
157	8	6	2
158	8	7	2
159	8	8	2
160	8	9	2
161	8	10	2
162	8	11	2
163	8	12	2
164	8	13	2
165	8	14	2
166	9	0	2
167	9	1	2
168	9	2	2
169	10	0	2
170	10	1	2
171	10	2	2
172	10	3	2
173	10	4	2
174	10	5	2
175	10	6	2
176	11	0	2
177	11	1	2
178	11	2	2
179	11	3	2
180	11	4	2
181	11	5	2
182	11	6	2
183	11	7	2
184	11	8	2
185	11	9	2
186	11	10	2
187	11	11	2
188	11	12	2
189	11	13	2
190	11	14	2
191	11	15	2
192	11	16	2
193	11	17	2
194	11	18	2
195	11	19	2
196	11	20	2
197	11	21	2
198	11	22	2
199	11	23	2
200	11	24	2
201	11	25	2
202	11	26	2
203	11	27	2
204	11	28	2
205	11	29	2
206	12	0	2
207	12	1	2
208	12	2	2
209	12	3	2
210	12	4	2
211	12	5	2
212	12	6	2
213	12	7	2
214	12	8	2
215	12	9	2
216	13	0	2
217	13	1	2
218	13	2	2
219	13	3	2
220	13	4	2
221	13	5	2
222	13	6	2
223	13	7	2
224	13	8	2
225	13	9	2
226	13	10	2
227	13	11	2
228	13	12	2
229	13	13	2
230	13	14	2
231	13	15	2
232	13	16	2
233	13	17	2
234	13	18	2
235	13	19	2
236	13	20	2
237	13	21	2
238	13	22	2
239	13	23	2
240	13	24	2
241	13	25	2
242	14	0	2
243	14	1	2
244	14	2	2
245	14	3	2
246	14	4	2
247	14	5	2
248	14	6	2
249	14	7	2
250	14	8	2
251	14	9	2
252	14	10	2
253	14	11	2
254	14	12	2
255	14	13	2
256	14	14	2
257	14	15	2
258	14	16	2
259	14	17	2
260	14	18	2
261	14	19	2
262	14	20	2
263	14	21	2
264	14	22	2
265	14	23	2
266	14	24	2
267	14	25	2
268	14	26	2
269	14	27	2
270	14	28	2
271	14	29	2
272	14	30	2
273	14	31	2
274	14	32	2
275	14	33	2
276	14	34	2
277	14	35	2
278	14	36	2
279	14	37	2
280	14	38	2
281	14	39	2
282	14	40	2
283	14	41	2
284	14	42	2
285	14	43	2
286	14	44	2
287	14	45	2
288	14	46	2
289	14	47	2
290	14	48	2
291	14	49	2
292	14	50	2
293	14	51	2
294	14	52	2
295	14	53	2
296	14	54	2
297	14	55	2
298	14	56	2
299	14	57	2
300	14	58	2
301	14	59	2
302	14	60	2
303	14	61	2
304	14	62	2
305	14	63	2
306	14	64	2
307	14	65	2
308	14	66	2
309	14	67	2
310	14	68	2
311	14	69	2
312	15	0	2
313	15	1	2
314	15	2	2
315	15	3	2
316	15	4	2
317	15	5	2
318	15	6	2
319	15	7	2
320	15	8	2
321	15	9	2
322	15	10	2
323	15	11	2
324	15	12	2
325	15	13	2
326	15	14	2
327	15	15	2
328	15	16	2
329	15	17	2
330	15	18	2
331	15	19	2
332	15	20	2
333	15	21	2
334	15	22	2
335	15	23	2
336	15	24	2
337	15	25	2
338	15	26	2
339	15	27	2
340	15	28	2
341	15	29	2
342	16	0	2
343	16	1	2
344	16	2	2
345	16	3	2
346	16	4	2
347	16	5	2
348	16	6	2
349	16	7	2
350	16	8	2
351	16	9	2
352	16	10	2
353	16	11	2
354	16	12	2
355	16	13	2
356	16	14	2
357	16	15	2
358	16	16	2
359	16	17	2
360	16	18	2
361	16	19	2
362	16	20	2
363	16	21	2
364	16	22	2
365	16	23	2
366	16	24	2
367	16	25	2
368	16	26	2
369	16	27	2
370	16	28	2
371	16	29	2
372	16	30	2
373	16	31	2
374	16	32	2
375	16	33	2
376	16	34	2
377	16	35	2
378	16	36	2
379	16	37	2
380	16	38	2
381	16	39	2
382	16	40	2
383	16	41	2
384	16	42	2
385	16	43	2
386	16	44	2
387	16	45	2
388	16	46	2
389	16	47	2
390	16	48	2
391	16	49	2
392	16	50	2
393	16	51	2
394	16	52	2
395	16	53	2
396	16	54	2
397	16	55	2
398	16	56	2
399	16	57	2
400	16	58	2
401	16	59	2
402	16	60	2
403	16	61	2
404	16	62	2
405	16	63	2
406	16	64	2
407	16	65	2
408	16	66	2
409	16	67	2
410	16	68	2
411	16	69	2
412	17	0	2
413	17	1	2
414	17	2	2
415	17	3	2
416	17	4	2
417	17	5	2
418	17	6	2
419	17	7	2
420	17	8	2
421	17	9	2
422	17	10	2
423	17	11	2
424	17	12	2
425	17	13	2
426	17	14	2
427	17	15	2
428	17	16	2
429	17	17	2
430	17	18	2
431	17	19	2
432	17	20	2
433	17	21	2
434	17	22	2
435	17	23	2
436	17	24	2
437	17	25	2
438	17	26	2
439	17	27	2
440	17	28	2
441	17	29	2
442	17	30	2
443	17	31	2
444	17	32	2
445	17	33	2
446	17	34	2
447	17	35	2
448	17	36	2
