seq.pos	node.id	node.offset	coverage
0	1	0	0
1	1	1	0
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0
11	1	11	0
12	1	12	0
13	1	13	0
14	1	14	0
15	1	15	0
16	1	16	0
17	1	17	0
18	1	18	0
19	1	19	0
20	1	20	0
21	1	21	0
22	2	0	2
23	2	1	2
24	2	2	2
25	2	3	2
26	2	4	2
27	2	5	2
28	2	6	2
29	2	7	2
30	2	8	2
31	2	9	2
32	2	10	2
33	2	11	2
34	2	12	2
35	2	13	2
36	2	14	2
37	3	0	2
38	3	1	2
39	3	2	2
40	3	3	2
41	3	4	2
42	3	5	2
43	3	6	2
44	3	7	2
45	3	8	2
46	3	9	2
47	3	10	2
48	3	11	2
49	3	12	2
50	3	13	2
51	3	14	2
52	3	15	2
53	3	16	2
54	3	17	2
55	3	18	2
56	3	19	2
57	3	20	2
58	3	21	2
59	3	22	2
60	3	23	2
61	3	24	2
62	3	25	2
63	3	26	2
64	3	27	2
65	3	28	2
66	3	29	2
67	4	0	0
68	4	1	0
69	4	2	0
70	4	3	0
71	4	4	0
72	4	5	0
73	4	6	0
74	4	7	0
75	4	8	0
76	4	9	0
77	4	10	0
78	4	11	0
79	4	12	0
80	4	13	0
81	4	14	0
82	4	15	0
83	4	16	0
84	4	17	0
85	4	18	0
86	4	19	0
87	4	20	0
88	4	21	0
89	4	22	0
90	4	23	0
91	4	24	0
92	4	25	0
93	4	26	0
94	4	27	0
95	4	28	0
96	4	29	0
97	4	30	0
98	5	0	2
99	5	1	2
100	5	2	2
101	5	3	2
102	5	4	2
103	5	5	2
104	5	6	2
105	5	7	2
106	5	8	2
107	5	9	2
108	5	10	2
109	5	11	2
110	5	12	2
111	5	13	2
112	5	14	2
113	5	15	2
114	5	16	2
115	5	17	2
116	5	18	2
117	5	19	2
118	5	20	2
119	6	0	4
120	6	1	4
121	7	0	0
122	7	1	0
123	7	2	0
124	7	3	0
125	7	4	0
126	7	5	0
127	7	6	0
128	7	7	0
129	7	8	0
130	7	9	0
131	7	10	0
132	7	11	0
133	7	12	0
134	7	13	0
135	7	14	0
136	7	15	0
137	7	16	0
138	7	17	0
139	7	18	0
140	7	19	0
141	7	20	0
142	7	21	0
143	7	22	0
144	7	23	0
145	7	24	0
146	7	25	0
147	7	26	0
148	7	27	0
149	7	28	0
150	7	29	0
151	8	0	0
152	8	1	0
153	8	2	0
154	8	3	2
155	8	4	2
