seq.pos	node.id	node.offset	coverage
0	1	0	0
1	1	1	0
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0
11	1	11	0
12	1	12	0
13	1	13	0
14	1	14	0
15	1	15	0
16	1	16	0
17	1	17	0
18	1	18	0
19	1	19	0
20	1	20	0
21	1	21	0
22	1	22	0
23	1	23	0
24	1	24	0
25	1	25	0
26	1	26	0
27	1	27	0
28	1	28	0
29	1	29	0
30	1	30	0
31	2	0	0
32	2	1	0
33	2	2	0
34	2	3	0
35	2	4	0
36	2	5	0
37	2	6	0
38	2	7	0
39	2	8	0
40	2	9	0
41	2	10	0
42	2	11	0
43	2	12	0
44	2	13	0
45	2	14	0
46	2	15	0
47	2	16	0
48	2	17	0
49	2	18	0
50	2	19	0
51	2	20	0
52	2	21	0
53	2	22	0
54	2	23	0
55	2	24	0
56	2	25	0
57	2	26	0
58	2	27	0
59	2	28	0
60	2	29	0
61	2	30	0
62	3	0	0
63	3	1	0
64	3	2	0
65	3	3	0
66	3	4	0
67	3	5	0
68	3	6	0
69	3	7	0
70	3	8	0
71	3	9	0
72	3	10	0
73	3	11	0
74	3	12	0
75	3	13	0
76	3	14	0
77	3	15	0
78	3	16	0
79	3	17	0
80	3	18	0
81	3	19	0
82	3	20	0
83	3	21	0
84	3	22	0
85	3	23	0
86	3	24	0
87	3	25	0
88	3	26	0
89	3	27	0
90	3	28	0
91	3	29	0
92	3	30	0
93	3	31	0
94	3	32	0
95	3	33	0
96	3	34	0
97	4	0	0
98	4	1	0
99	4	2	0
100	4	3	0
101	4	4	0
102	4	5	0
103	4	6	0
104	4	7	0
105	4	8	0
106	4	9	0
107	4	10	0
108	4	11	0
109	4	12	0
110	4	13	0
111	4	14	0
112	4	15	0
113	4	16	0
114	4	17	0
115	4	18	0
116	4	19	0
117	4	20	0
118	4	21	0
119	4	22	0
120	4	23	0
121	4	24	0
122	4	25	0
123	4	26	0
124	4	27	0
125	4	28	0
126	4	29	0
127	4	30	0
128	5	0	0
129	5	1	0
130	5	2	0
131	5	3	0
132	5	4	0
133	5	5	0
134	5	6	0
135	5	7	0
136	5	8	0
137	5	9	0
138	5	10	0
139	5	11	0
140	5	12	0
141	5	13	0
142	5	14	0
143	5	15	0
144	5	16	0
145	5	17	0
146	5	18	0
147	5	19	0
148	5	20	0
149	5	21	0
150	5	22	0
151	5	23	0
152	5	24	0
153	5	25	0
154	5	26	0
155	5	27	0
